Soma simples:

Com 100 arquivos
Cada arquivo com 1000000 numeros

teste_1.txt: Tempo de duracao: 0.552000
teste_2.txt: Tempo de duracao: 0.559000
teste_3.txt: Tempo de duracao: 0.548000
teste_4.txt: Tempo de duracao: 0.617000
teste_5.txt: Tempo de duracao: 0.562000
teste_6.txt: Tempo de duracao: 0.544000
teste_7.txt: Tempo de duracao: 0.602000
teste_8.txt: Tempo de duracao: 0.527000
teste_9.txt: Tempo de duracao: 0.575000
teste_10.txt: Tempo de duracao: 0.545000
teste_11.txt: Tempo de duracao: 0.557000
teste_12.txt: Tempo de duracao: 0.531000
teste_13.txt: Tempo de duracao: 0.586000
teste_14.txt: Tempo de duracao: 0.582000
teste_15.txt: Tempo de duracao: 0.579000
teste_16.txt: Tempo de duracao: 0.624000
teste_17.txt: Tempo de duracao: 0.598000
teste_18.txt: Tempo de duracao: 0.524000
teste_19.txt: Tempo de duracao: 0.508000
teste_20.txt: Tempo de duracao: 0.528000
teste_21.txt: Tempo de duracao: 0.479000
teste_22.txt: Tempo de duracao: 0.549000
teste_23.txt: Tempo de duracao: 0.513000
teste_24.txt: Tempo de duracao: 0.533000
teste_25.txt: Tempo de duracao: 0.634000
teste_26.txt: Tempo de duracao: 0.579000
teste_27.txt: Tempo de duracao: 0.494000
teste_28.txt: Tempo de duracao: 0.529000
teste_29.txt: Tempo de duracao: 0.522000
teste_30.txt: Tempo de duracao: 0.563000
teste_31.txt: Tempo de duracao: 0.588000
teste_32.txt: Tempo de duracao: 0.560000
teste_33.txt: Tempo de duracao: 0.526000
teste_34.txt: Tempo de duracao: 0.529000
teste_35.txt: Tempo de duracao: 0.546000
teste_36.txt: Tempo de duracao: 0.583000
teste_37.txt: Tempo de duracao: 0.489000
teste_38.txt: Tempo de duracao: 0.522000
teste_39.txt: Tempo de duracao: 0.494000
teste_40.txt: Tempo de duracao: 0.563000
teste_41.txt: Tempo de duracao: 0.548000
teste_42.txt: Tempo de duracao: 0.507000
teste_43.txt: Tempo de duracao: 0.500000
teste_44.txt: Tempo de duracao: 0.523000
teste_45.txt: Tempo de duracao: 0.503000
teste_46.txt: Tempo de duracao: 0.496000
teste_47.txt: Tempo de duracao: 0.498000
teste_48.txt: Tempo de duracao: 0.474000
teste_49.txt: Tempo de duracao: 0.517000
teste_50.txt: Tempo de duracao: 0.490000
teste_51.txt: Tempo de duracao: 0.518000
teste_52.txt: Tempo de duracao: 0.490000
teste_53.txt: Tempo de duracao: 0.533000
teste_54.txt: Tempo de duracao: 0.613000
teste_55.txt: Tempo de duracao: 0.624000
teste_56.txt: Tempo de duracao: 0.641000
teste_57.txt: Tempo de duracao: 0.667000
teste_58.txt: Tempo de duracao: 0.582000
teste_59.txt: Tempo de duracao: 0.506000
teste_60.txt: Tempo de duracao: 0.534000
teste_61.txt: Tempo de duracao: 0.514000
teste_62.txt: Tempo de duracao: 0.577000
teste_63.txt: Tempo de duracao: 0.552000
teste_64.txt: Tempo de duracao: 0.581000
teste_65.txt: Tempo de duracao: 0.526000
teste_66.txt: Tempo de duracao: 0.480000
teste_67.txt: Tempo de duracao: 0.502000
teste_68.txt: Tempo de duracao: 0.635000
teste_69.txt: Tempo de duracao: 0.535000
teste_70.txt: Tempo de duracao: 0.548000
teste_71.txt: Tempo de duracao: 0.562000
teste_72.txt: Tempo de duracao: 0.560000
teste_73.txt: Tempo de duracao: 0.533000
teste_74.txt: Tempo de duracao: 0.523000
teste_75.txt: Tempo de duracao: 0.611000
teste_76.txt: Tempo de duracao: 0.542000
teste_77.txt: Tempo de duracao: 0.505000
teste_78.txt: Tempo de duracao: 0.484000
teste_79.txt: Tempo de duracao: 0.583000
teste_80.txt: Tempo de duracao: 0.553000
teste_81.txt: Tempo de duracao: 0.484000
teste_82.txt: Tempo de duracao: 0.529000
teste_83.txt: Tempo de duracao: 0.506000
teste_84.txt: Tempo de duracao: 0.560000
teste_85.txt: Tempo de duracao: 0.633000
teste_86.txt: Tempo de duracao: 0.536000
teste_87.txt: Tempo de duracao: 0.538000
teste_88.txt: Tempo de duracao: 0.565000
teste_89.txt: Tempo de duracao: 0.551000
teste_90.txt: Tempo de duracao: 0.597000
teste_91.txt: Tempo de duracao: 0.488000
teste_92.txt: Tempo de duracao: 0.525000
teste_93.txt: Tempo de duracao: 0.505000
teste_94.txt: Tempo de duracao: 0.490000
teste_95.txt: Tempo de duracao: 0.550000
teste_96.txt: Tempo de duracao: 0.591000
teste_97.txt: Tempo de duracao: 0.567000
teste_98.txt: Tempo de duracao: 0.604000
teste_99.txt: Tempo de duracao: 0.645000
teste_100.txt: Tempo de duracao: 0.612000

Tempo total de duracao: 54.789000
